date_recorded,job_domain,skill_name,demand_count,is_synthetic
2010-01-31,Cyber Security,Linux,21,1
2010-01-31,Cyber Security,Network Security,24,1
2010-01-31,Cyber Security,Penetration Testing,27,1
2010-01-31,Cyber Security,SIEM,28,1
2010-01-31,Cyber Security,Incident Response,27,1
2010-01-31,Cyber Security,Compliance,25,1
2010-01-31,Cyber Security,Security,22,1
2010-02-28,Cyber Security,Linux,22,1
2010-02-28,Cyber Security,Network Security,25,1
2010-02-28,Cyber Security,Penetration Testing,28,1
2010-02-28,Cyber Security,SIEM,28,1
2010-02-28,Cyber Security,Incident Response,27,1
2010-02-28,Cyber Security,Compliance,25,1
2010-02-28,Cyber Security,Security,21,1
2010-03-31,Cyber Security,Linux,24,1
2010-03-31,Cyber Security,Network Security,27,1
2010-03-31,Cyber Security,Penetration Testing,29,1
2010-03-31,Cyber Security,SIEM,30,1
2010-03-31,Cyber Security,Incident Response,28,1
2010-03-31,Cyber Security,Compliance,25,1
2010-03-31,Cyber Security,Security,22,1
2010-04-30,Cyber Security,Linux,26,1
2010-04-30,Cyber Security,Network Security,29,1
2010-04-30,Cyber Security,Penetration Testing,31,1
2010-04-30,Cyber Security,SIEM,31,1
2010-04-30,Cyber Security,Incident Response,29,1
2010-04-30,Cyber Security,Compliance,26,1
2010-04-30,Cyber Security,Security,22,1
2010-05-31,Cyber Security,Linux,27,1
2010-05-31,Cyber Security,Network Security,30,1
2010-05-31,Cyber Security,Penetration Testing,31,1
2010-05-31,Cyber Security,SIEM,31,1
2010-05-31,Cyber Security,Incident Response,29,1
2010-05-31,Cyber Security,Compliance,25,1
2010-05-31,Cyber Security,Security,21,1
2010-06-30,Cyber Security,Linux,28,1
2010-06-30,Cyber Security,Network Security,31,1
2010-06-30,Cyber Security,Penetration Testing,32,1
2010-06-30,Cyber Security,SIEM,31,1
2010-06-30,Cyber Security,Incident Response,29,1
2010-06-30,Cyber Security,Compliance,25,1
2010-06-30,Cyber Security,Security,21,1
2010-07-31,Cyber Security,Linux,30,1
2010-07-31,Cyber Security,Network Security,32,1
2010-07-31,Cyber Security,Penetration Testing,33,1
2010-07-31,Cyber Security,SIEM,32,1
2010-07-31,Cyber Security,Incident Response,29,1
2010-07-31,Cyber Security,Compliance,25,1
2010-07-31,Cyber Security,Security,21,1
2010-08-31,Cyber Security,Linux,30,1
2010-08-31,Cyber Security,Network Security,32,1
2010-08-31,Cyber Security,Penetration Testing,33,1
2010-08-31,Cyber Security,SIEM,31,1
2010-08-31,Cyber Security,Incident Response,28,1
2010-08-31,Cyber Security,Compliance,24,1
2010-08-31,Cyber Security,Security,20,1
2010-09-30,Cyber Security,Linux,30,1
2010-09-30,Cyber Security,Network Security,32,1
2010-09-30,Cyber Security,Penetration Testing,32,1
2010-09-30,Cyber Security,SIEM,30,1
2010-09-30,Cyber Security,Incident Response,26,1
2010-09-30,Cyber Security,Compliance,22,1
2010-09-30,Cyber Security,Security,18,1
2010-10-31,Cyber Security,Linux,31,1
2010-10-31,Cyber Security,Network Security,32,1
2010-10-31,Cyber Security,Penetration Testing,32,1
2010-10-31,Cyber Security,SIEM,30,1
2010-10-31,Cyber Security,Incident Response,26,1
2010-10-31,Cyber Security,Compliance,22,1
2010-10-31,Cyber Security,Security,18,1
2010-11-30,Cyber Security,Linux,31,1
2010-11-30,Cyber Security,Network Security,32,1
2010-11-30,Cyber Security,Penetration Testing,31,1
2010-11-30,Cyber Security,SIEM,28,1
2010-11-30,Cyber Security,Incident Response,25,1
2010-11-30,Cyber Security,Compliance,21,1
2010-11-30,Cyber Security,Security,17,1
2010-12-31,Cyber Security,Linux,32,1
2010-12-31,Cyber Security,Network Security,33,1
2010-12-31,Cyber Security,Penetration Testing,31,1
2010-12-31,Cyber Security,SIEM,28,1
2010-12-31,Cyber Security,Incident Response,24,1
2010-12-31,Cyber Security,Compliance,20,1
2010-12-31,Cyber Security,Security,17,1
2011-01-31,Cyber Security,Linux,34,1
2011-01-31,Cyber Security,Network Security,34,1
2011-01-31,Cyber Security,Penetration Testing,32,1
2011-01-31,Cyber Security,SIEM,29,1
2011-01-31,Cyber Security,Incident Response,24,1
2011-01-31,Cyber Security,Compliance,20,1
2011-01-31,Cyber Security,Security,17,1
2011-02-28,Cyber Security,Linux,34,1
2011-02-28,Cyber Security,Network Security,34,1
2011-02-28,Cyber Security,Penetration Testing,32,1
2011-02-28,Cyber Security,SIEM,28,1
2011-02-28,Cyber Security,Incident Response,24,1
2011-02-28,Cyber Security,Compliance,20,1
2011-02-28,Cyber Security,Security,17,1
2011-03-31,Cyber Security,Linux,37,1
2011-03-31,Cyber Security,Network Security,36,1
2011-03-31,Cyber Security,Penetration Testing,33,1
2011-03-31,Cyber Security,SIEM,29,1
2011-03-31,Cyber Security,Incident Response,24,1
2011-03-31,Cyber Security,Compliance,20,1
2011-03-31,Cyber Security,Security,18,1
2011-04-30,Cyber Security,Linux,39,1
2011-04-30,Cyber Security,Network Security,38,1
2011-04-30,Cyber Security,Penetration Testing,35,1
2011-04-30,Cyber Security,SIEM,30,1
2011-04-30,Cyber Security,Incident Response,25,1
2011-04-30,Cyber Security,Compliance,21,1
2011-04-30,Cyber Security,Security,19,1
2011-05-31,Cyber Security,Linux,41,1
2011-05-31,Cyber Security,Network Security,39,1
2011-05-31,Cyber Security,Penetration Testing,35,1
2011-05-31,Cyber Security,SIEM,30,1
2011-05-31,Cyber Security,Incident Response,25,1
2011-05-31,Cyber Security,Compliance,21,1
2011-05-31,Cyber Security,Security,20,1
2011-06-30,Cyber Security,Linux,43,1
2011-06-30,Cyber Security,Network Security,40,1
2011-06-30,Cyber Security,Penetration Testing,36,1
2011-06-30,Cyber Security,SIEM,30,1
2011-06-30,Cyber Security,Incident Response,25,1
2011-06-30,Cyber Security,Compliance,22,1
2011-06-30,Cyber Security,Security,21,1
2011-07-31,Cyber Security,Linux,43,1
2011-07-31,Cyber Security,Network Security,40,1
2011-07-31,Cyber Security,Penetration Testing,35,1
2011-07-31,Cyber Security,SIEM,29,1
2011-07-31,Cyber Security,Incident Response,24,1
2011-07-31,Cyber Security,Compliance,21,1
2011-07-31,Cyber Security,Security,21,1
2011-08-31,Cyber Security,Linux,43,1
2011-08-31,Cyber Security,Network Security,39,1
2011-08-31,Cyber Security,Penetration Testing,34,1
2011-08-31,Cyber Security,SIEM,28,1
2011-08-31,Cyber Security,Incident Response,24,1
2011-08-31,Cyber Security,Compliance,21,1
2011-08-31,Cyber Security,Security,21,1
2011-09-30,Cyber Security,Linux,44,1
2011-09-30,Cyber Security,Network Security,40,1
2011-09-30,Cyber Security,Penetration Testing,34,1
2011-09-30,Cyber Security,SIEM,29,1
2011-09-30,Cyber Security,Incident Response,24,1
2011-09-30,Cyber Security,Compliance,22,1
2011-09-30,Cyber Security,Security,23,1
2011-10-31,Cyber Security,Linux,42,1
2011-10-31,Cyber Security,Network Security,38,1
2011-10-31,Cyber Security,Penetration Testing,32,1
2011-10-31,Cyber Security,SIEM,27,1
2011-10-31,Cyber Security,Incident Response,23,1
2011-10-31,Cyber Security,Compliance,21,1
2011-10-31,Cyber Security,Security,23,1
2011-11-30,Cyber Security,Linux,42,1
2011-11-30,Cyber Security,Network Security,37,1
2011-11-30,Cyber Security,Penetration Testing,32,1
2011-11-30,Cyber Security,SIEM,26,1
2011-11-30,Cyber Security,Incident Response,23,1
2011-11-30,Cyber Security,Compliance,22,1
2011-11-30,Cyber Security,Security,24,1
2011-12-31,Cyber Security,Linux,41,1
2011-12-31,Cyber Security,Network Security,36,1
2011-12-31,Cyber Security,Penetration Testing,30,1
2011-12-31,Cyber Security,SIEM,25,1
2011-12-31,Cyber Security,Incident Response,22,1
2011-12-31,Cyber Security,Compliance,22,1
2011-12-31,Cyber Security,Security,24,1
2012-01-31,Cyber Security,Linux,42,1
2012-01-31,Cyber Security,Network Security,36,1
2012-01-31,Cyber Security,Penetration Testing,30,1
2012-01-31,Cyber Security,SIEM,26,1
2012-01-31,Cyber Security,Incident Response,23,1
2012-01-31,Cyber Security,Compliance,23,1
2012-01-31,Cyber Security,Security,26,1
2012-02-29,Cyber Security,Linux,43,1
2012-02-29,Cyber Security,Network Security,37,1
2012-02-29,Cyber Security,Penetration Testing,31,1
2012-02-29,Cyber Security,SIEM,26,1
2012-02-29,Cyber Security,Incident Response,24,1
2012-02-29,Cyber Security,Compliance,25,1
2012-02-29,Cyber Security,Security,29,1
2012-03-31,Cyber Security,Linux,43,1
2012-03-31,Cyber Security,Network Security,37,1
2012-03-31,Cyber Security,Penetration Testing,30,1
2012-03-31,Cyber Security,SIEM,26,1
2012-03-31,Cyber Security,Incident Response,25,1
2012-03-31,Cyber Security,Compliance,26,1
2012-03-31,Cyber Security,Security,31,1
2012-04-30,Cyber Security,Linux,45,1
2012-04-30,Cyber Security,Network Security,38,1
2012-04-30,Cyber Security,Penetration Testing,31,1
2012-04-30,Cyber Security,SIEM,27,1
2012-04-30,Cyber Security,Incident Response,26,1
2012-04-30,Cyber Security,Compliance,29,1
2012-04-30,Cyber Security,Security,34,1
2012-05-31,Cyber Security,Linux,44,1
2012-05-31,Cyber Security,Network Security,37,1
2012-05-31,Cyber Security,Penetration Testing,31,1
2012-05-31,Cyber Security,SIEM,27,1
2012-05-31,Cyber Security,Incident Response,27,1
2012-05-31,Cyber Security,Compliance,30,1
2012-05-31,Cyber Security,Security,36,1
2012-06-30,Cyber Security,Linux,44,1
2012-06-30,Cyber Security,Network Security,36,1
2012-06-30,Cyber Security,Penetration Testing,31,1
2012-06-30,Cyber Security,SIEM,28,1
2012-06-30,Cyber Security,Incident Response,28,1
2012-06-30,Cyber Security,Compliance,32,1
2012-06-30,Cyber Security,Security,39,1
2012-07-31,Cyber Security,Linux,42,1
2012-07-31,Cyber Security,Network Security,35,1
2012-07-31,Cyber Security,Penetration Testing,30,1
2012-07-31,Cyber Security,SIEM,27,1
2012-07-31,Cyber Security,Incident Response,29,1
2012-07-31,Cyber Security,Compliance,33,1
2012-07-31,Cyber Security,Security,40,1
2012-08-31,Cyber Security,Linux,42,1
2012-08-31,Cyber Security,Network Security,35,1
2012-08-31,Cyber Security,Penetration Testing,30,1
2012-08-31,Cyber Security,SIEM,28,1
2012-08-31,Cyber Security,Incident Response,30,1
2012-08-31,Cyber Security,Compliance,36,1
2012-08-31,Cyber Security,Security,43,1
2012-09-30,Cyber Security,Linux,38,1
2012-09-30,Cyber Security,Network Security,32,1
2012-09-30,Cyber Security,Penetration Testing,28,1
2012-09-30,Cyber Security,SIEM,27,1
2012-09-30,Cyber Security,Incident Response,30,1
2012-09-30,Cyber Security,Compliance,35,1
2012-09-30,Cyber Security,Security,42,1
2012-10-31,Cyber Security,Linux,36,1
2012-10-31,Cyber Security,Network Security,30,1
2012-10-31,Cyber Security,Penetration Testing,26,1
2012-10-31,Cyber Security,SIEM,26,1
2012-10-31,Cyber Security,Incident Response,30,1
2012-10-31,Cyber Security,Compliance,35,1
2012-10-31,Cyber Security,Security,42,1
2012-11-30,Cyber Security,Linux,34,1
2012-11-30,Cyber Security,Network Security,29,1
2012-11-30,Cyber Security,Penetration Testing,26,1
2012-11-30,Cyber Security,SIEM,27,1
2012-11-30,Cyber Security,Incident Response,31,1
2012-11-30,Cyber Security,Compliance,37,1
2012-11-30,Cyber Security,Security,44,1
2012-12-31,Cyber Security,Linux,32,1
2012-12-31,Cyber Security,Network Security,27,1
2012-12-31,Cyber Security,Penetration Testing,25,1
2012-12-31,Cyber Security,SIEM,26,1
2012-12-31,Cyber Security,Incident Response,31,1
2012-12-31,Cyber Security,Compliance,37,1
2012-12-31,Cyber Security,Security,44,1
2013-01-31,Cyber Security,Linux,31,1
2013-01-31,Cyber Security,Network Security,27,1
2013-01-31,Cyber Security,Penetration Testing,26,1
2013-01-31,Cyber Security,SIEM,28,1
2013-01-31,Cyber Security,Incident Response,33,1
2013-01-31,Cyber Security,Compliance,39,1
2013-01-31,Cyber Security,Security,46,1
2013-02-28,Cyber Security,Linux,30,1
2013-02-28,Cyber Security,Network Security,26,1
2013-02-28,Cyber Security,Penetration Testing,25,1
2013-02-28,Cyber Security,SIEM,28,1
2013-02-28,Cyber Security,Incident Response,33,1
2013-02-28,Cyber Security,Compliance,40,1
2013-02-28,Cyber Security,Security,46,1
2013-03-31,Cyber Security,Linux,29,1
2013-03-31,Cyber Security,Network Security,26,1
