job_id,job_title,job_domain,company_name,required_skills,min_experience,min_education
J-0001,ERP Technical Consultant (D365 Business Central),ERP & Enterprise,PT NSSOL Systems Indonesia,"['SQL', 'Azure', 'Troubleshooting']",3 - 5 Tahun,S1/D4
J-0002,Cloud Engineer / DevOps Engineer,DevOps & Cloud,PT EVOLUSI TEKNOLOGI SOLUSI,"['AWS', 'Azure', 'Docker', 'Kubernetes', 'CI/CD', 'Jenkins']",1 - 3 Tahun,S1/D4
J-0003,AI Engineer,Data Science & AI,AME Mineral Economics Pty Ltd,"['Python', 'Azure', 'Git', 'CI/CD', 'API', 'Machine Learning', 'NLP', 'Data Engineering', 'LLM']",1 - 3 Tahun,SMA/SMK
J-0004,ERP Consultant,ERP & Enterprise,PT Talentvis Consulting Indonesia,"['Business Analysis', 'Requirements Gathering', 'SQL']",> 5 Tahun,S1/D4
J-0005,PYTHON DEVELOPER (PD),Software Development,PT Plexis Erakarsa Pirantiniaga (Plasmedia),"['Python', 'SQL', 'JavaScript', 'PostgreSQL', 'Oracle']",> 5 Tahun,S2/S3
J-0006,Data Center Project Manager (Telco Industry),Project Management,Perusahaan Dirahasiakan,"['IT Support', 'Troubleshooting', 'Hardware', 'Networking']",> 5 Tahun,S2/S3
J-0007,OTN Engineer,Software Development,PT Fiberhome Technologies Indonesia,['Troubleshooting'],1 - 3 Tahun,S1/D4
J-0008,Odoo Business Analyst,Data Analytics,PT. Ecotekno Anugerah Karya,"['Business Analysis', 'Requirements Gathering', 'SQL']",1 - 3 Tahun,S1/D4
J-0009,DevOps Engineer,DevOps & Cloud,PT Digdaya Duta Digital,['CI/CD'],1 - 3 Tahun,S1/D4
J-0010,PM Data,Software Development,PT Sinergi Mitrajaya Abadi,"['SQL', 'Oracle', 'Agile', 'QA']",1 - 3 Tahun,S1/D4
J-0011,DevOps Engineer,DevOps & Cloud,PT IDX Solusi Teknologi Informasi,"['Python', 'Docker', 'Kubernetes', 'CI/CD', 'Jenkins', 'Troubleshooting']",1 - 3 Tahun,S1/D4
J-0012,SAP Supporter (Retail processes / SAP AFS / SAP for Fashion),ERP & Enterprise,Abrihet Teknobalhar Informa,"['Java', 'Troubleshooting']",3 - 5 Tahun,S1/D4
J-0013,IT Security Specialist,Software Development,PT. Dwidaya World Wide,"['IT Support', 'Troubleshooting', 'Hardware', 'Networking']",3 - 5 Tahun,S1/D4
J-0014,"MySQL DBA (Remote, 3 month contract and fluent English)",Software Development,PT. Amalura Multi Dimensi,"['MySQL', 'Oracle']",1 - 3 Tahun,S1/D4
J-0015,QHSE Coordinator,Software Development,Javacell,['Java'],1 - 3 Tahun,S1/D4
J-0016,UI/UX Designer,UI/UX Design,PT Abhimata Persada,"['SQL', 'Figma', 'UI/UX', 'Agile', 'Scrum', 'QA']",1 - 3 Tahun,S1/D4
J-0017,Software Engineer,Software Development,PT.Web Commerce Communications,"['Java', 'Spring', 'Troubleshooting']",> 5 Tahun,S1/D4
J-0018,IT Security VAPT Specialist,Software Development,PT Adira Dinamika Multi Finance Tbk,"['Linux', 'API', 'Penetration Testing']",1 - 3 Tahun,S1/D4
J-0019,Fullstack Developer (on - site),Web Development,PT. Trans Berjaya Khatulistiwa,"['Vue', 'Laravel', 'Git', 'API']",3 - 5 Tahun,S1/D4
J-0020,UX Designer,UI/UX Design,PT Formulatrix Indonesia,"['Figma', 'Prototyping']",< 1 Tahun,S1/D4
J-0021,VP of Technology,Software Development,Perusahaan Dirahasiakan,"['AWS', 'Azure', 'GCP', 'CI/CD', 'Data Engineering', 'Agile', 'QA']",3 - 5 Tahun,S1/D4
J-0022,Technical Lead,Software Development,PT Kamoro Maxima Integra,"['Penetration Testing', 'Agile', 'QA']",3 - 5 Tahun,S1/D4
J-0023,QA Engineer,Quality Assurance,Geonet Property & Finance Group,"['SQL', 'UI/UX', 'CI/CD', 'API', 'Postman', 'QA']",1 - 3 Tahun,S1/D4
J-0024,Program Executive (IT/STEM) - JAKARTA,Software Development,The Global Citizen Pte. Ltd.,['Python'],1 - 3 Tahun,S1/D4
J-0025,Senior Backend Developer,Web Development,TUNTUN SEKURITAS INDONESIA,"['Java', 'Go', 'Linux', 'Redis']",1 - 3 Tahun,S1/D4
J-0026,Software Integration Project Manager,Project Management,PT Giesecke & Devrient Indonesia,"['Software Development', 'SQL', 'Git', 'API']",> 5 Tahun,S2/S3
J-0027,Odoo Application Support & Product Specialist,Software Development,PT Ako Media Asia,"['Python', 'Troubleshooting']",< 1 Tahun,S1/D4
J-0028,Senior Network Security Engineer,Software Development,PT Dinamika Sistem Integrasi Solusi,"['Python', 'Linux', 'Cisco', 'Routing', 'Cyber Security', 'Troubleshooting']",> 5 Tahun,S1/D4
J-0029,MASTER DATA MANAGEMENT MANAGER,Software Development,PT Pesta Pora Abadi,['Routing'],1 - 3 Tahun,S2/S3
J-0030,SAP Supporter (Order to Cash & FICO),ERP & Enterprise,Abrihet Teknobalhar Informa,['Java'],3 - 5 Tahun,S1/D4
J-0031,TECHNICAL MANAGER (AUDIO - VIDEO - LIGHTING SPECIALIST),Software Development,PT Jakarta International Expo,"['IT Management', 'Leadership', 'Strategic Planning', 'Project Management']",> 5 Tahun,S2/S3
J-0032,Poject Manager,Software Development,PT. Lintas Teknologi Indonesia,"['Project Management', 'Agile', 'Scrum', 'Jira']",> 5 Tahun,S2/S3
J-0033,FLM ATM First Level Maintenance Technician,Software Development,PT Brinks Solutions Indonesia,['Troubleshooting'],1 - 3 Tahun,D3
J-0034,Presales Engineer,Sales & Business Development,PT Nusantara Compnet Integrator,"['B2B Sales', 'Solution Selling', 'Presentation', 'System Architecture']",> 5 Tahun,S1/D4
J-0035,Pre-Sales Engineer – Network Energy,Sales & Business Development,PT Fiberhome Technologies Indonesia,"['B2B Sales', 'Solution Selling', 'Presentation', 'System Architecture']",1 - 3 Tahun,S1/D4
J-0036,"Senior Specialist, ERP",ERP & Enterprise,Perusahaan Dirahasiakan,['Troubleshooting'],1 - 3 Tahun,S1/D4
J-0037,Automation Developer RPA (Blue Prism),Software Development,Abrihet Teknobalhar Informa,"['Python', 'Java', 'CI/CD', 'Agile']",1 - 3 Tahun,S1/D4
